Timesheet ID Num Staff ID Num Start Date/Time    End Date/Time  Payment Amount
       91             93      12.06.2012 13:00 12.06.2012 17:00 $
       92            199      12.06.2012 13:30 12.06.2012 16:30 $
       93             5        13.06.2012 8:00 13.06.2012 14:00 $
       94             72       13.06.2012 8:30 13.06.2012 10:30 $
       95             96       13.06.2012 8:30 13.06.2012 12:30 $
       96             97       13.06.2012 8:30 13.06.2012 10:30 $
       97             38       13.06.2012 9:30 13.06.2012 15:30 $
       98            100       13.06.2012 9:30 13.06.2012 15:30 $
       99             61      13.06.2012 10:30 13.06.2012 14:30 $
       100           174      13.06.2012 11:00 13.06.2012 18:00 $
       101           180      13.06.2012 11:00 13.06.2012 18:00 $
       102           187      13.06.2012 11:00 13.06.2012 16:00 $
       103            86      13.06.2012 13:30 13.06.2012 20:30 $
       104           189      13.06.2012 13:30 13.06.2012 15:30 $
       105           199      13.06.2012 14:00 13.06.2012 16:00 $
       106            72       14.06.2012 8:30 14.06.2012 14:30 $
       107            70       14.06.2012 9:00 14.06.2012 12:00 $
       108            71       14.06.2012 9:30 14.06.2012 13:30 $
       109            80      14.06.2012 10:00 14.06.2012 18:00 $
       110            88      14.06.2012 10:30 14.06.2012 14:30 $
       111            38      14.06.2012 11:00 14.06.2012 18:00 $
       112           202      14.06.2012 11:30 14.06.2012 14:30 $
       113            86      14.06.2012 12:00 14.06.2012 14:00 $
       114           174      14.06.2012 12:00 14.06.2012 16:00 $
       115           180      14.06.2012 12:00 14.06.2012 17:00 $
       116           187      14.06.2012 12:00 14.06.2012 14:00 $
       117           189      14.06.2012 12:30 14.06.2012 19:30 $
       118            61      14.06.2012 14:00 14.06.2012 20:00 $
       119           112      14.06.2012 14:00 14.06.2012 21:00 $
       120           122      14.06.2012 14:00 14.06.2012 19:00 $
       121           124       15.06.2012 8:00 15.06.2012 13:00 $
       122           202       15.06.2012 8:00 15.06.2012 14:00 $
       123           127       15.06.2012 9:30 15.06.2012 15:30 $
       124            71      15.06.2012 11:00 15.06.2012 16:00 $
       125            80      15.06.2012 11:00 15.06.2012 16:00 $
       126            38      15.06.2012 11:30 15.06.2012 14:30 $
       127            86      15.06.2012 11:30 15.06.2012 19:30 $
       128            88      15.06.2012 11:30 15.06.2012 14:30 $
       129           174      15.06.2012 12:00 15.06.2012 18:00 $
       130           199      15.06.2012 12:00 15.06.2012 19:00 $
       131           180      15.06.2012 13:00 15.06.2012 17:00 $
       132           187      15.06.2012 13:00 15.06.2012 16:00 $
       133            61      15.06.2012 14:00 15.06.2012 22:00 $
       134           189      15.06.2012 14:00 15.06.2012 16:00 $
       135           249      15.06.2012 14:00 15.06.2012 21:00 $
       136           150       18.08.2013 8:00 18.08.2013 11:00 $
       137           152       18.08.2013 8:30 18.08.2013 15:30 $
       138           157       18.08.2013 8:30 18.08.2013 14:30 $
       139           170       18.08.2013 8:30 18.08.2013 12:30 $
       140           171       18.08.2013 8:30 18.08.2013 12:30 $
       141           134       18.08.2013 9:00 18.08.2013 17:00 $
       142           138       18.08.2013 9:30 18.08.2013 17:30 $
       143           158       18.08.2013 9:30 18.08.2013 12:30 $
       144           168      18.08.2013 10:00 18.08.2013 16:00 $
       145           173      18.08.2013 10:00 18.08.2013 18:00 $
       146           177      18.08.2013 11:30 18.08.2013 16:30 $
       147            52      18.08.2013 12:00 18.08.2013 18:00 $
       148            53      18.08.2013 12:00 18.08.2013 15:00 $
       149            55      18.08.2013 12:00 18.08.2013 14:00 $
       150           113      18.08.2013 12:00 18.08.2013 17:00 $
       151           129      18.08.2013 12:30 18.08.2013 18:30 $
       152           130      18.08.2013 13:00 18.08.2013 18:00 $
       153           141      18.08.2013 13:30 18.08.2013 19:30 $
       154           143      18.08.2013 14:00 18.08.2013 21:00 $
       155           161      18.08.2013 14:00 18.08.2013 17:00 $
       156           164      18.08.2013 14:00 18.08.2013 16:00 $
       157           150       19.08.2013 9:00 19.08.2013 11:00 $
       158           152       19.08.2013 9:00 19.08.2013 11:00 $
       159           157       19.08.2013 9:00 19.08.2013 17:00 $
       160           170       19.08.2013 9:00 19.08.2013 11:00 $
       161           171       19.08.2013 9:00 19.08.2013 17:00 $
       162           134      19.08.2013 10:00 19.08.2013 18:00 $
       163           138      19.08.2013 10:30 19.08.2013 17:30 $
       164           158      19.08.2013 10:30 19.08.2013 14:30 $
       165           168      19.08.2013 11:00 19.08.2013 16:00 $
       166           173      19.08.2013 11:00 19.08.2013 19:00 $
       167            52      19.08.2013 11:30 19.08.2013 13:30 $
       168            53      19.08.2013 11:30 19.08.2013 14:30 $
       169            55      19.08.2013 11:30 19.08.2013 19:30 $
       170           113      19.08.2013 11:30 19.08.2013 18:30 $
       171           177      19.08.2013 11:30 19.08.2013 17:30 $
       172           129      19.08.2013 12:00 19.08.2013 19:00 $
       173           130      19.08.2013 12:30 19.08.2013 16:30 $
       174           141      19.08.2013 12:30 19.08.2013 17:30 $
       175           143      19.08.2013 13:00 19.08.2013 17:00 $
       176           161      19.08.2013 13:30 19.08.2013 17:30 $
       177           164      19.08.2013 14:00 19.08.2013 17:00 $
       178           209      19.08.2013 14:00 19.08.2013 21:00 $
       179           150       20.08.2013 8:00 20.08.2013 16:00 $
       180           152       20.08.2013 8:00 20.08.2013 11:00 $
       181           157       20.08.2013 8:30 20.08.2013 10:30 $
       182           170       20.08.2013 9:00 20.08.2013 13:00 $
       183           171      20.08.2013 10:30 20.08.2013 18:30 $
       184           134      20.08.2013 11:00 20.08.2013 14:00 $
       185           138      20.08.2013 12:00 20.08.2013 18:00 $
       186           158      20.08.2013 12:30 20.08.2013 17:30 $
       187           168      20.08.2013 12:30 20.08.2013 20:30 $
       188           173      20.08.2013 12:30 20.08.2013 19:30 $
       189           161      20.08.2013 13:30 20.08.2013 17:30 $
       190           177      20.08.2013 13:30 20.08.2013 19:30 $
       191           150       21.08.2013 8:00 21.08.2013 14:00 $
       192           152       21.08.2013 8:00 21.08.2013 13:00 $
       193           157       21.08.2013 8:30 21.08.2013 12:30 $
       194           170       21.08.2013 8:30 21.08.2013 14:30 $
       195           171       21.08.2013 8:30 21.08.2013 10:30 $
       196            52       21.08.2013 9:00 21.08.2013 17:00 $
       197            53       21.08.2013 9:30 21.08.2013 13:30 $
       198            55       21.08.2013 9:30 21.08.2013 14:30 $
       199           113      21.08.2013 11:00 21.08.2013 16:00 $
       200           129      21.08.2013 11:00 21.08.2013 19:00 $
       201           130      21.08.2013 12:00 21.08.2013 18:00 $
       202           141      21.08.2013 12:30 21.08.2013 15:30 $
       203           143      21.08.2013 12:30 21.08.2013 18:30 $
       204           164      21.08.2013 13:30 21.08.2013 20:30 $
       205           150       22.08.2013 8:00 22.08.2013 16:00 $
       206           152       22.08.2013 8:00 22.08.2013 10:00 $
       207           157       22.08.2013 8:30 22.08.2013 10:30 $
       208           170       22.08.2013 9:00 22.08.2013 14:00 $
       209           171       22.08.2013 9:00 22.08.2013 13:00 $
       210           134       22.08.2013 9:30 22.08.2013 15:30 $
       211           138      22.08.2013 10:00 22.08.2013 17:00 $
       212           158      22.08.2013 10:00 22.08.2013 16:00 $
       213           168      22.08.2013 10:00 22.08.2013 12:00 $
       214           173      22.08.2013 11:00 22.08.2013 18:00 $
       215           177      22.08.2013 11:00 22.08.2013 15:00 $
       216            52      22.08.2013 12:00 22.08.2013 18:00 $
       217            53      22.08.2013 12:00 22.08.2013 15:00 $
       218            55      22.08.2013 12:30 22.08.2013 15:30 $
       219           113      22.08.2013 12:30 22.08.2013 19:30 $
       220           129      22.08.2013 13:00 22.08.2013 18:00 $
       221           130      22.08.2013 13:00 22.08.2013 18:00 $
       222           141      22.08.2013 13:30 22.08.2013 21:30 $
       223           143      22.08.2013 13:30 22.08.2013 20:30 $
       224           161      22.08.2013 13:30 22.08.2013 18:30 $
       225           164      22.08.2013 14:00 22.08.2013 18:00 $
       226           209      22.08.2013 14:00 22.08.2013 20:00 $
       227           150       23.08.2013 8:30 23.08.2013 14:30 $
       228           152       23.08.2013 8:30 23.08.2013 10:30 $
       229           157       23.08.2013 9:00 23.08.2013 15:00 $
       230           170       23.08.2013 9:30 23.08.2013 15:30 $
       231           134      23.08.2013 10:00 23.08.2013 12:00 $
       232           171      23.08.2013 10:00 23.08.2013 18:00 $
       233           138      23.08.2013 10:30 23.08.2013 16:30 $
       234           158      23.08.2013 11:00 23.08.2013 19:00 $
       235           168      23.08.2013 11:30 23.08.2013 13:30 $
       236           173      23.08.2013 11:30 23.08.2013 13:30 $
       237            52      23.08.2013 12:00 23.08.2013 15:00 $
       238            53      23.08.2013 12:00 23.08.2013 16:00 $
       239            55      23.08.2013 12:00 23.08.2013 14:00 $
       240           113      23.08.2013 12:00 23.08.2013 17:00 $
       241           177      23.08.2013 12:00 23.08.2013 14:00 $
       242           129      23.08.2013 13:30 23.08.2013 21:30 $
       243           130      23.08.2013 13:30 23.08.2013 17:30 $
       244           141      23.08.2013 14:00 23.08.2013 18:00 $
       245           143      23.08.2013 14:00 23.08.2013 18:00 $
       246           161      23.08.2013 14:00 23.08.2013 21:00 $
       247           150       24.08.2013 8:00 24.08.2013 15:00 $
       248           152       24.08.2013 9:00 24.08.2013 16:00 $
       249           157       24.08.2013 9:00 24.08.2013 17:00 $
       250           170       24.08.2013 9:30 24.08.2013 14:30 $
       251           171       24.08.2013 9:30 24.08.2013 12:30 $
       252           134      24.08.2013 10:00 24.08.2013 13:00 $
       253           138      24.08.2013 10:00 24.08.2013 14:00 $
       254           158      24.08.2013 10:00 24.08.2013 18:00 $
       255           168      24.08.2013 10:30 24.08.2013 12:30 $
       256           173      24.08.2013 10:30 24.08.2013 18:30 $
       257           177      24.08.2013 10:30 24.08.2013 12:30 $
       258            52      24.08.2013 11:00 24.08.2013 19:00 $
       259            53      24.08.2013 11:00 24.08.2013 17:00 $
       260            55      24.08.2013 11:00 24.08.2013 19:00 $
       261           113      24.08.2013 11:00 24.08.2013 19:00 $
       262           129      24.08.2013 11:30 24.08.2013 14:30 $
       263           130      24.08.2013 11:30 24.08.2013 18:30 $
       264           141      24.08.2013 12:30 24.08.2013 15:30 $
       265           143      24.08.2013 12:30 24.08.2013 20:30 $
       266           161      24.08.2013 13:00 24.08.2013 21:00 $
       267           164      24.08.2013 13:30 24.08.2013 21:30 $
       268           180      24.08.2013 14:00 24.08.2013 19:00 $
       269           209      24.08.2013 14:00 24.08.2013 18:00 $
       270           150       25.08.2013 8:30 25.08.2013 15:30 $
       271           152       25.08.2013 8:30 25.08.2013 14:30 $
       272           157       25.08.2013 8:30 25.08.2013 11:30 $
       273           170       25.08.2013 8:30 25.08.2013 12:30 $
       274           171       25.08.2013 8:30 25.08.2013 13:30 $
       275           134       25.08.2013 9:00 25.08.2013 17:00 $
       276           138       25.08.2013 9:00 25.08.2013 15:00 $
       277           158       25.08.2013 9:00 25.08.2013 15:00 $
       278           168       25.08.2013 9:00 25.08.2013 17:00 $
       279           173       25.08.2013 9:30 25.08.2013 13:30 $
       280           177       25.08.2013 9:30 25.08.2013 16:30 $
       281            52      25.08.2013 10:30 25.08.2013 15:30 $
       282            53      25.08.2013 10:30 25.08.2013 15:30 $
       283            55      25.08.2013 10:30 25.08.2013 18:30 $
       284           113      25.08.2013 11:30 25.08.2013 14:30 $
       285           129      25.08.2013 11:30 25.08.2013 18:30 $
       286           130      25.08.2013 12:00 25.08.2013 15:00 $
       287           141      25.08.2013 12:00 25.08.2013 18:00 $
       288           143      25.08.2013 12:00 25.08.2013 19:00 $
       289            85      25.08.2013 12:30 25.08.2013 17:30 $
       290            86      25.08.2013 12:30 25.08.2013 19:30 $
       291            89      25.08.2013 13:00 25.08.2013 20:00 $
       292            91      25.08.2013 13:30 25.08.2013 17:30 $
       293            92      25.08.2013 13:30 25.08.2013 17:30 $
       294            94      25.08.2013 13:30 25.08.2013 18:30 $
       295           229      25.08.2013 13:30 25.08.2013 20:30 $
       296           233      25.08.2013 14:00 25.08.2013 22:00 $
       297           234      25.08.2013 14:00 25.08.2013 19:00 $
       298           240      25.08.2013 14:00 25.08.2013 21:00 $
       299           244      25.08.2013 14:00 25.08.2013 17:00 $
       300           249      25.08.2013 14:00 25.08.2013 18:00 $
       301           115       01.05.2014 8:00 01.05.2014 11:00 $
       302           146       01.05.2014 8:30 01.05.2014 11:30 $
       303           150       01.05.2014 8:30 01.05.2014 16:30 $
       304           152       01.05.2014 8:30 01.05.2014 13:30 $
       305           157       01.05.2014 9:00 01.05.2014 16:00 $
       306           170       01.05.2014 9:00 01.05.2014 14:00 $
       307           171      01.05.2014 10:30 01.05.2014 12:30 $
       308           178      01.05.2014 11:00 01.05.2014 19:00 $
       309           182      01.05.2014 11:30 01.05.2014 19:30 $
       310           138      01.05.2014 12:00 01.05.2014 14:00 $
       311           158      01.05.2014 12:30 01.05.2014 16:30 $
       312           168      01.05.2014 12:30 01.05.2014 14:30 $
       313           173      01.05.2014 13:00 01.05.2014 16:00 $
       314           177      01.05.2014 13:00 01.05.2014 19:00 $
       315           179      01.05.2014 13:30 01.05.2014 15:30 $
       316           185      01.05.2014 14:00 01.05.2014 18:00 $
       317           115       02.05.2014 8:30 02.05.2014 12:30 $
       318           146       02.05.2014 9:30 02.05.2014 11:30 $
       319           150       02.05.2014 9:30 02.05.2014 17:30 $
       320           152       02.05.2014 9:30 02.05.2014 12:30 $
       321           157      02.05.2014 10:00 02.05.2014 14:00 $
       322           138      02.05.2014 10:30 02.05.2014 12:30 $
       323           158      02.05.2014 10:30 02.05.2014 15:30 $
       324           168      02.05.2014 10:30 02.05.2014 12:30 $
       325           173      02.05.2014 10:30 02.05.2014 17:30 $
       326           177      02.05.2014 11:00 02.05.2014 18:00 $
       327           179      02.05.2014 11:30 02.05.2014 13:30 $
       328           185      02.05.2014 11:30 02.05.2014 16:30 $
       329           176      02.05.2014 13:00 02.05.2014 15:00 $
       330           191      02.05.2014 13:00 02.05.2014 17:00 $
       331           175      02.05.2014 13:30 02.05.2014 21:30 $
       332           115       03.05.2014 8:00 03.05.2014 14:00 $
       333           146       03.05.2014 8:00 03.05.2014 14:00 $
       334           150       03.05.2014 8:00 03.05.2014 13:00 $
       335           152       03.05.2014 8:30 03.05.2014 13:30 $
       336           157       03.05.2014 8:30 03.05.2014 14:30 $
       337           170       03.05.2014 8:30 03.05.2014 14:30 $
       338           138       03.05.2014 9:30 03.05.2014 11:30 $
       339           158      03.05.2014 10:00 03.05.2014 13:00 $
       340           168      03.05.2014 10:00 03.05.2014 15:00 $
       341           173      03.05.2014 10:00 03.05.2014 18:00 $
       342           177      03.05.2014 11:30 03.05.2014 19:30 $
       343           179      03.05.2014 11:30 03.05.2014 15:30 $
       344           185      03.05.2014 12:00 03.05.2014 15:00 $
       345           128      03.05.2014 13:00 03.05.2014 19:00 $
       346           135      03.05.2014 13:00 03.05.2014 18:00 $
       347           176      03.05.2014 13:00 03.05.2014 16:00 $
       348           191      03.05.2014 13:00 03.05.2014 19:00 $
       349           142      03.05.2014 13:30 03.05.2014 16:30 $
       350           156      03.05.2014 13:30 03.05.2014 16:30 $
       351           161      03.05.2014 14:00 03.05.2014 18:00 $
       352           164      03.05.2014 14:00 03.05.2014 20:00 $
       353           167      03.05.2014 14:00 03.05.2014 18:00 $
       354           169      03.05.2014 14:00 03.05.2014 16:00 $
       355           146       04.05.2014 8:00 04.05.2014 15:00 $
       356           150       04.05.2014 8:00 04.05.2014 13:00 $
       357           152       04.05.2014 8:00 04.05.2014 12:00 $
       358           157       04.05.2014 8:00 04.05.2014 12:00 $
       359           138       04.05.2014 9:30 04.05.2014 17:30 $
       360           170       04.05.2014 9:30 04.05.2014 16:30 $
       361           158      04.05.2014 10:00 04.05.2014 16:00 $
       362           168      04.05.2014 10:00 04.05.2014 13:00 $
       363           173      04.05.2014 10:30 04.05.2014 16:30 $
       364           177      04.05.2014 10:30 04.05.2014 15:30 $
       365           179      04.05.2014 11:00 04.05.2014 18:00 $
       366           185      04.05.2014 11:00 04.05.2014 13:00 $
       367           176      04.05.2014 11:30 04.05.2014 15:30 $
       368           128      04.05.2014 12:00 04.05.2014 18:00 $
       369           191      04.05.2014 12:00 04.05.2014 17:00 $
       370           135      04.05.2014 12:30 04.05.2014 15:30 $
       371           142      04.05.2014 13:00 04.05.2014 16:00 $
       372           156      04.05.2014 13:30 04.05.2014 15:30 $
       373           161      04.05.2014 13:30 04.05.2014 19:30 $
       374           164      04.05.2014 13:30 04.05.2014 18:30 $
       375           167      04.05.2014 13:30 04.05.2014 21:30 $
       376           169      04.05.2014 13:30 04.05.2014 19:30 $
       377           174      04.05.2014 14:00 04.05.2014 21:00 $
       378           115       05.05.2014 8:00 05.05.2014 11:00 $
       379           146       05.05.2014 8:30 05.05.2014 10:30 $
       380           150       05.05.2014 8:30 05.05.2014 16:30 $
       381           152       05.05.2014 8:30 05.05.2014 13:30 $
       382           157       05.05.2014 9:00 05.05.2014 12:00 $
       383           170       05.05.2014 9:00 05.05.2014 15:00 $
       384           138       05.05.2014 9:30 05.05.2014 12:30 $
       385           158       05.05.2014 9:30 05.05.2014 17:30 $
       386           168       05.05.2014 9:30 05.05.2014 11:30 $
       387           173      05.05.2014 10:00 05.05.2014 13:00 $
       388           177      05.05.2014 10:30 05.05.2014 15:30 $
       389           179      05.05.2014 11:00 05.05.2014 19:00 $
       390           185      05.05.2014 12:00 05.05.2014 17:00 $
       391           176      05.05.2014 12:30 05.05.2014 18:30 $
       392           191      05.05.2014 13:00 05.05.2014 20:00 $
       393           226      05.05.2014 13:30 05.05.2014 17:30 $
       394           241      05.05.2014 14:00 05.05.2014 16:00 $
       395           115       06.05.2014 8:00 06.05.2014 16:00 $
       396           146       06.05.2014 9:00 06.05.2014 16:00 $
       397           150       06.05.2014 9:30 06.05.2014 12:30 $
       398           152      06.05.2014 11:30 06.05.2014 13:30 $
       399           176      06.05.2014 11:30 06.05.2014 19:30 $
       400           191      06.05.2014 13:00 06.05.2014 15:00 $
       401           226      06.05.2014 13:00 06.05.2014 19:00 $
       402           241      06.05.2014 14:00 06.05.2014 21:00 $
       403           115       07.05.2014 8:00 07.05.2014 15:00 $
       404           146       07.05.2014 8:00 07.05.2014 12:00 $
       405           150       07.05.2014 8:30 07.05.2014 13:30 $
       406           152       07.05.2014 8:30 07.05.2014 16:30 $
       407           157       07.05.2014 8:30 07.05.2014 15:30 $
       408           138      07.05.2014 10:30 07.05.2014 14:30 $
       409           170      07.05.2014 10:30 07.05.2014 15:30 $
       410           158      07.05.2014 11:00 07.05.2014 13:00 $
       411           168      07.05.2014 11:00 07.05.2014 18:00 $
       412           173      07.05.2014 12:00 07.05.2014 14:00 $
       413           177      07.05.2014 12:30 07.05.2014 15:30 $
       414           179      07.05.2014 13:00 07.05.2014 19:00 $
       415           176      07.05.2014 13:30 07.05.2014 16:30 $
       416           185      07.05.2014 13:30 07.05.2014 17:30 $
       417           191      07.05.2014 14:00 07.05.2014 19:00 $
       418           215      07.05.2014 14:00 07.05.2014 18:00 $
       419           115       08.05.2014 8:00 08.05.2014 16:00 $
       420           146       08.05.2014 8:30 08.05.2014 15:30 $
       421           150       08.05.2014 9:00 08.05.2014 13:00 $
       422           152      08.05.2014 10:00 08.05.2014 13:00 $
       423           138      08.05.2014 10:30 08.05.2014 14:30 $
       424           157      08.05.2014 10:30 08.05.2014 14:30 $
       425           158      08.05.2014 10:30 08.05.2014 17:30 $
       426           170      08.05.2014 10:30 08.05.2014 13:30 $
       427           168      08.05.2014 11:00 08.05.2014 15:00 $
       428           173      08.05.2014 11:30 08.05.2014 17:30 $
       429           177      08.05.2014 12:00 08.05.2014 16:00 $
       430           176      08.05.2014 12:30 08.05.2014 16:30 $
       431           179      08.05.2014 12:30 08.05.2014 19:30 $
       432           185      08.05.2014 12:30 08.05.2014 16:30 $
       433           128      08.05.2014 13:30 08.05.2014 19:30 $
       434           135      08.05.2014 13:30 08.05.2014 16:30 $
       435           191      08.05.2014 13:30 08.05.2014 21:30 $
       436           142      08.05.2014 14:00 08.05.2014 21:00 $
       437           156      08.05.2014 14:00 08.05.2014 16:00 $
       438           161      08.05.2014 14:00 08.05.2014 22:00 $
       439           164      08.05.2014 14:00 08.05.2014 18:00 $
       440            91       30.08.2015 8:00 30.08.2015 11:00 $
       441            92       30.08.2015 8:00 30.08.2015 13:00 $
       442            94       30.08.2015 8:00 30.08.2015 15:00 $
       443           144      30.08.2015 10:00 30.08.2015 13:00 $
       444           151      30.08.2015 10:00 30.08.2015 15:00 $
       445           211      30.08.2015 11:00 30.08.2015 14:00 $
       446           224      30.08.2015 11:00 30.08.2015 14:00 $
       447           237      30.08.2015 11:00 30.08.2015 19:00 $
       448           248      30.08.2015 11:00 30.08.2015 15:00 $
       449           246      30.08.2015 12:00 30.08.2015 15:00 $
       450           245      30.08.2015 12:30 30.08.2015 14:30 $
       451           235      30.08.2015 13:00 30.08.2015 17:00 $
       452           236      30.08.2015 13:00 30.08.2015 18:00 $
       453           207      30.08.2015 13:30 30.08.2015 15:30 $
       454           239      30.08.2015 13:30 30.08.2015 20:30 $
       455           208      30.08.2015 14:00 30.08.2015 17:00 $
       456           210      30.08.2015 14:00 30.08.2015 18:00 $
       457            91       31.08.2015 8:30 31.08.2015 14:30 $
       458            92       31.08.2015 9:30 31.08.2015 15:30 $
       459            94       31.08.2015 9:30 31.08.2015 12:30 $
       460           144      31.08.2015 10:00 31.08.2015 16:00 $
       461           151      31.08.2015 10:00 31.08.2015 18:00 $
       462           211      31.08.2015 10:30 31.08.2015 12:30 $
       463           224      31.08.2015 11:00 31.08.2015 16:00 $
       464           237      31.08.2015 11:00 31.08.2015 18:00 $
       465           209      31.08.2015 11:30 31.08.2015 18:30 $
       466           229      31.08.2015 12:00 31.08.2015 16:00 $
       467           233      31.08.2015 12:00 31.08.2015 15:00 $
       468           234      31.08.2015 12:30 31.08.2015 15:30 $
       469           240      31.08.2015 13:00 31.08.2015 19:00 $
       470           244      31.08.2015 13:00 31.08.2015 16:00 $
       471           248      31.08.2015 13:30 31.08.2015 21:30 $
       472            91       01.09.2015 8:30 01.09.2015 14:30 $
       473            92       01.09.2015 9:00 01.09.2015 16:00 $
       474            94       01.09.2015 9:00 01.09.2015 15:00 $
       475           144       01.09.2015 9:00 01.09.2015 14:00 $
       476           151       01.09.2015 9:30 01.09.2015 16:30 $
       477           211      01.09.2015 10:30 01.09.2015 18:30 $
       478           224      01.09.2015 10:30 01.09.2015 12:30 $
       479           237      01.09.2015 11:00 01.09.2015 18:00 $
       480           209      01.09.2015 11:30 01.09.2015 16:30 $
